Designator,Mid X,Mid Y,Rotation,Layer
A1,161.18,-84.06,90.0,bottom
C1,152.5016,-103.0478,0.0,bottom
C2,107.8738,-98.0186,0.0,bottom
C3,135.2003,-91.9988,0.0,bottom
C4,145.1317,-91.4908,0.0,bottom
C5,168.8078,-68.6308,0.0,bottom
C6,184.0732,-68.4784,0.0,bottom
C7,112.5181,-104.013,180.0,bottom
C8,116.8908,-104.013,0.0,bottom
C9,107.0141,-77.7494,0.0,bottom
D1,137.588515,-100.838,0.0,bottom
D2,146.427715,-101.0666,0.0,bottom
D3,190.881,-88.011,270.0,bottom
J1,99.8522,-79.9192,90.0,bottom
J2,99.5728,-99.8366,270.0,bottom
J3,178.348,-110.3582,180.0,bottom
J4,189.3014,-71.0638,270.0,bottom
J5,190.119,-101.5092,90.0,bottom
J6,109.5756,-109.2962,0.0,bottom
K1,177.673,-85.217,0.0,bottom
L1,178.3842,-96.2406,0.0,bottom
L2,178.3842,-102.0826,0.0,bottom
OC1,164.3276,-89.022,0.0,bottom
Q1,191.389,-79.8576,270.0,bottom
Q2,169.4942,-73.1012,90.0,bottom
R1,162.1536,-73.8632,0.0,bottom
R2,122.2502,-102.6922,0.0,bottom
R3,128.905,-102.6668,0.0,bottom
R4,159.0548,-103.124,0.0,bottom
R5,133.8332,-76.5302,0.0,bottom
R6,179.171,-68.58,0.0,bottom
R7,173.71,-68.58,0.0,bottom
R8,162.3314,-78.359,0.0,bottom
RV1,113.5888,-78.613,0.0,bottom
RV2,150.368,-93.599,0.0,bottom
RV3,139.9286,-94.0816,0.0,bottom
SW1,125.857,-110.236,0.0,top
SW2,161.0695,-110.236,0.0,top
SW3,144.0769,-110.236,0.0,top
U1,144.86,-87.43,0.0,top
U2,97.03,-92.13,90.0,bottom
